Model,R² Train,R² Test,Q² Train,Q² Test,RMSE Train,RMSE Test,MAE Train,MAE Test,Best Params
Model_1_Seed_6,0.9081275592523665,0.8242044591280446,0.7772316295598813,0.7623599740496374,0.4225134320027128,0.5814556774108697,0.3089243079652691,0.43997178027330863,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}"
Model_2_Seed_7,0.9142245738117,0.8221904023017995,0.7889371986478881,0.7542788374202452,0.409392766781863,0.5975424536960566,0.3016897504192802,0.4500026557221252,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}"
Model_3_Seed_5,0.9472008673256951,0.8176802790289502,0.7903144631695832,0.7060237430184854,0.32308811534540255,0.5796428718343122,0.22285710849402077,0.4252815173352714,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
