Smiles,naAromAtom,nBondsD,nAcid,SaasC,SpMax3_Bhm,ETA_EtaP,SpMax1_Bhm,MDEO-11,SpMax4_Bhm,MLFER_S,maxHBa,ATSC4c,SpMax4_Bhv,VPC-4,ATSC8c,VE3_Dzs,AATS6s,VE1_Dzs,minHsOH,gmin,GATS2c,minwHBa,CrippenLogP,SpMax5_Bhv,VE3_Dzv,GATS6m,ATSC2m,ATSC8m,VC-5,MDEC-33,maxHssNH,AATS6v,SpMin6_Bhm,AATS8e,GATS8m,maxHBd,IC3,AATS7s,hmin,SpMin5_Bhm,SssssC,ndsN,ATSC1m,SCH-6,GATS5m,ETA_Beta,SpMin4_Bhm,AATSC5s,ATSC7p,apol,pIC50,Predicted_pIC50
CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,0.5281675340791524,-1.1226649682267935,-0.7808828289898957,0.472077033123233,-0.5236490519176819,0.4130875550544586,-0.3369825768284506,-0.6967167318502979,-0.630021124429517,0.0434500618718077,1.0651877157955214,0.7107218673552528,-0.475783035254207,0.5597955373782932,-1.7732219533837903,0.5070686323009512,0.9692331093219516,0.1564430548533252,-1.083273594061667,0.3902906270453125,1.3033572557597983,0.4762555943692117,-0.6605564716885466,0.5366512005889337,1.1246850004662416,-0.660349872688556,-0.0509258712123562,-1.8964694091608796,0.3821896201734997,0.4711586442079127,0.9213136596265764,-0.4867374975090842,0.796923997777229,0.5689026112064134,1.084005446546009,-0.4038278662103747,0.2263790155913458,0.2422222090232952,0.3237673059165782,0.3989719084701867,-0.1571107641238458,-0.4453480022077192,-0.2777016129362835,0.92987946018581,0.1768327588588333,-0.0087401028903569,0.8276205789233433,-0.7720916444071527,-0.482768129509287,0.2467119974541981,7.548213564,7.478832363368227
CC(C)[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,0.5281675340791524,-0.6403538499632889,1.147602843917827,0.8030022446139758,0.6286387330406052,0.7699661010405547,0.6881444562876817,1.5175572886501276,0.8504752197442388,-0.3523296725364988,0.1373252745873167,-1.081925027558826,0.6979759661794499,1.2368970943192164,1.0786707826597617,1.3197424296639149,-0.9267540847151456,2.200349184787981,0.8170228354273279,-1.9451031963688512,-0.7827996907263747,-0.9744960285449358,0.5082177498456448,0.7854396227067172,0.1944292360459291,0.3792566559327182,0.8236998922584645,-0.0159066297821711,1.466104298391886,-0.3953331808583161,-0.7668755972571919,-0.7721460995460208,-0.0591609418137521,-0.6100028834092657,0.0822789224407586,0.3359632840191494,0.2430224314669745,-0.1776674031350381,-0.4285897688653121,-0.082483949555349,-0.0603951627431544,-0.4453480022077192,2.2827981986805197,-0.753286562895249,-0.1715868562292325,0.0169168788366103,0.4887738968228401,0.6642657985037178,1.444678160538592,0.3801413858305081,9.698970004,9.440395570038953
C1CC(CCC1CO)COC2(C3=CC=CC=C3C(=O)N2CC4=CC=C(C=C4)[N+](=O)[O-])C5=CC=C(C=C5)Cl,-0.8394605369481851,1.0477350639589769,-0.7808828289898957,-0.7703660157459702,-0.3347660590250811,-0.6222389383727472,-0.4485283740834125,0.0491288940707168,-0.1466805557467018,-0.3853857677353866,-0.2673857388017724,0.3247320671692004,0.8770962419561127,-0.6782824344129064,-0.9215240564330808,0.6556680734597636,-0.6658107031757969,0.3569100374800476,0.8678915296935081,0.3956259101490695,0.3076987105784057,0.810190063201972,-0.7030244421558407,-0.6101819084186694,-0.3763591857331189,-0.125715769648518,-1.4321402115596549,-0.2455205279843919,-0.8587199192536048,-1.5239380674489444,-0.7668755972571919,0.4402546154627217,0.0677162546950158,-1.4401219675919794,0.069243630747878,0.39477726955843,-0.736285669798681,-0.5923649075438804,-3.016066872009985,-0.2043635906896878,-0.0552163153092341,-0.4453480022077192,-0.1735365359587828,0.391455877369487,-0.096304252355762,-0.0857110480712586,0.786163393137034,-0.9161182730415236,0.509493624194191,-0.1586826840449491,6.236572006,6.259138775233455
CC[C@@H](CC(O)C(F)(F)F)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,0.5281675340791524,-1.1226649682267935,1.147602843917827,0.5954153248792778,-0.4072065036886349,0.3224756021332071,-0.4455879200285456,0.6706922058931694,-0.4891752862166089,-0.9401921222896944,-0.1779278736593442,-0.721121177280556,-0.562432096829838,-0.0515971038434632,0.2690049956879322,0.2614912582920341,0.1465102428842277,-0.2313278587132672,0.6304187198432281,-1.7116085937180892,-0.8112863355637385,-1.2545124406047932,0.2223316584555661,-0.7265866925233517,0.4382640737880178,-0.1631510695391774,0.4873673233177407,0.6721062927968489,-0.2700387575662137,-0.705763145648572,-0.7668755972571919,-0.6218259547064694,-0.095285288866747,1.396123145194471,0.0334044537369958,0.5849942219182849,0.0239869449573111,1.3468752890295388,0.3545912211009647,-0.3186965983447376,-3.807864736387486,-0.4453480022077192,-0.9696196426355044,-1.4616695904183243,-0.2959192182414334,-0.4192518105218328,0.3759120482813892,-0.0248635260153884,0.3030137582519175,-0.3796722530946124,7.853871964,8.094308158965429
CC(C)N1[C@@H]([C@H](C[C@](S1(=O)=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,-0.8394605369481851,0.5654239456954723,1.147602843917827,-0.7703660157459702,0.4790822405929653,0.2755266922914035,0.6914897860377157,1.411659825412544,-1.453199056292572,-0.969674585575189,-0.235777555078379,-0.3812593747436353,-1.926468560000673,0.5923467750669321,0.2077015850405856,0.2920505451849128,-0.6951756341762348,-0.3612052640203637,1.0513590429079105,-2.2638544198128017,-1.459762377417143,-1.0749023767675303,0.1915539786739139,-1.1617219845580993,-1.797998352055138,0.2602920987647179,1.2016760847742003,-0.0063133725734142,1.4920711025485518,-1.4522730683988228,-0.7668755972571919,-0.9486046336726168,-1.2472335861493158,1.0274554961809506,1.1381623488782515,0.6069009700933106,-1.235418946908708,-0.5767786745957401,-0.1167725971642939,-1.0601418741036663,-0.1380059517222394,-0.4453480022077192,1.7605921159764144,-1.487876972772231,0.3663567273635835,-1.1633042806038827,-0.2124448183995871,1.3226375922313047,2.6250197433023867,-0.8114688165719084,6.920818754,7.3225443165360895
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)N2CCCC2)C3CC3)C4=CC=C(C=C4)Cl)C5=CC(=CC=C5)Cl)CC(=O)O,-0.8394605369481851,0.8065795048272245,1.147602843917827,-0.7703660157459702,0.4811206638824335,0.9600451393443232,0.6574227808852423,1.703379963207191,0.927930324082626,-0.1834755646286659,0.1508643813943078,0.0225542716397619,0.7877950103919742,0.6475385567380249,-0.7784058801085864,1.1830749409003998,-0.2643296947725552,1.703429106108417,0.8194283353435633,-2.057294198377895,-0.9554185993849106,-0.9740586923145484,-0.3891051774614546,1.5223855088887082,0.0408851879961421,-0.1208418913961285,-0.8289718178543256,0.1240605328907257,0.4106458741703971,-0.5887717548160264,-0.7668755972571919,-0.2298893130221269,0.4227623816655196,0.3389584845675583,-0.0642589150223735,0.3387445041650392,0.3260028550998874,-0.5985916439308299,-0.4316637646906458,0.6648085056896319,-0.0649410747243867,-0.4453480022077192,2.262995382015794,-0.2555992535215833,0.6019779570199688,-0.342280865340931,-0.3371075963133759,-0.5936635413515946,-1.9502117712475464,0.3064235631641853,10.0,9.292047475572048
CC[C@@H](CNS(=O)(=O)C)N1[C@@H]([C@H](C[C@](C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,-0.8394605369481851,0.8065795048272245,1.147602843917827,-0.7703660157459702,0.4807952661951411,0.5602832474766265,0.6260119918152668,1.5175572886501276,0.8058390611797324,-0.4407770623929825,-0.1203609551083111,-0.8070283272502969,0.5152679157205008,-0.14901482734213,1.1441200055002418,0.9173604972965672,-0.7163216075764137,0.8964571947788152,0.9721997465835852,-1.8342390849617076,-1.2948761251662384,-0.9974468739305168,-0.2241734072514985,0.1525746802882863,0.4329860876764989,0.1807914180950807,-1.163764421548258,0.3100644343397958,-0.5153497527854671,-1.011252821616036,0.6415934406199628,-0.6121858755274531,-0.0768330314550235,0.2438790302593824,0.6036784745489863,0.5153776122308744,0.378713942027163,0.1307119959604019,0.1645216474215495,-0.6448581426765334,-0.0519191249424254,-0.4453480022077192,1.8295208538708647,-1.4616695904183243,-0.2597919562407338,-0.6758216277915052,0.1967038235601082,0.6423190694930294,0.9961654332776764,-0.2301684407166952,9.15490196,8.836469142389227
C1CC1[C@@H](CO)N2[C@@H]([C@H](C[C@@H](C2=O)CC(=O)O)C3=CC(=CC=C3)Cl)C4=CC=C(C=C4)Cl,-0.8394605369481851,0.32426838656372,1.147602843917827,-0.7703660157459702,-0.3756123915142355,-0.2036529284427381,-0.4784347715679599,0.7866613246664154,-0.4397580495113504,-0.714159903767569,-0.4111106384901089,-0.8829733650711984,-0.119778314485213,-0.9437445245101984,1.0627575713698674,-0.0338081301941919,-0.6984640455081078,-0.6211603545320687,0.3200409622720824,0.4822676335335665,-1.1726063888592684,-0.8673327331018037,-0.8957933494931509,-0.8639877215895952,-0.022369474604932,-0.1000271403420693,-1.6637825873821637,0.7754721339190044,-0.5956065542506652,0.0179755323378541,-0.7668755972571919,-0.5484623060080647,-0.7522732919105698,0.4697800311124064,0.2405757680508382,0.7711858134540233,-0.2650932256188044,-0.3187111883086814,0.4348717000296161,-1.1631660003293676,0.7639290296439762,-0.4453480022077192,-0.8353445655744347,-0.2912826344113648,-0.4517763314452571,-1.1119903171499483,-0.9603284810364208,1.7415110391048452,0.0221633159212686,-0.7771965236315805,7.397940009,7.112321638187277
CC[C@@H](C)OC1=C(C=C2CC(=O)N([C@H](C2=C1)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)N(C)CC5CCC(CC5)NC(=O)CC)OC,-0.8394605369481851,1.0477350639589769,-0.7808828289898957,-0.7703660157459702,-0.4852220132022283,0.6045589097829547,-0.4776033682167315,-0.8409301224995684,-0.0338927846667427,0.5455453457035645,-0.2337999215152672,-0.1903160106782706,0.7603857998671352,-0.2384970104575768,0.4977699688202643,0.8557049987396184,-1.09886261042226,0.8690984006554233,-1.083273594061667,0.8608947802383443,0.8842501368160962,1.1769659082224877,1.6033934560123742,0.3402038664451088,0.6091828689775681,0.9200260584772458,0.0857467034762468,1.0102305832891765,-0.8589529904882627,0.1020830361959088,0.6985393365785612,-1.2368003558998664,1.9375067913572035,-1.1950771052622324,-0.9299418042089612,-0.5961361258290282,1.7390987849398638,-1.4905583771113742,-0.8219826934698327,1.418427666120127,0.7639290296439762,-0.4453480022077192,0.301019682359927,-0.7398059583366748,0.0771358989280256,0.2734866961062827,0.818956595957427,-0.2420936225617123,0.3894919012572101,1.2627043374833549,7.698970004,7.6227167785387735
CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(N(C)CC3CCN(C(=O)N(C)C)CC3)cc1)C2c1ccc(Cl)cc1,1.211981569592821,-1.1226649682267935,-0.7808828289898957,1.8549974977504808,-0.3104552102501312,-0.1935725575277121,-0.4405708039475474,-0.8340628192817052,0.1104871590131116,0.2927108878309898,-0.2343671600845957,-0.451490729488146,0.4998510828128429,-0.0419048096847349,0.0902010556091474,0.756074616772851,-1.2585412941668817,0.6771843045095153,-1.083273594061667,0.8565300465864252,1.6792081112432853,1.1621381831095736,1.1515954135275734,0.3320493073978595,0.6820868043496074,0.3872535884739498,0.5149994068002385,0.8997428140203876,-0.4749805370670383,-0.0601094752449714,-0.7668755972571919,-1.5386482993515356,1.422983206393998,-0.9952577603440472,-0.8689063674596528,-1.8611445508996245,0.7246636296805657,-1.3963910916157194,-0.8101999136797428,1.4430237594441713,0.7639290296439762,-0.4453480022077192,0.5288752018518689,-0.7398059583366748,0.4228309064732475,1.0431961479153,1.0335299990633229,-0.4304807392868184,1.1847379309208932,1.1893620175362962,7.910094889,8.123147533398498
