Smiles,naAromAtom,nBondsD,nAcid,SaasC,SpMax3_Bhm,ETA_EtaP,SpMax1_Bhm,MDEO-11,SpMax4_Bhm,MLFER_S,maxHBa,ATSC4c,SpMax4_Bhv,VPC-4,ATSC8c,VE3_Dzs,AATS6s,VE1_Dzs,minHsOH,gmin,GATS2c,minwHBa,CrippenLogP,SpMax5_Bhv,VE3_Dzv,GATS6m,ATSC2m,ATSC8m,VC-5,MDEC-33,maxHssNH,AATS6v,SpMin6_Bhm,AATS8e,GATS8m,maxHBd,IC3,AATS7s,hmin,SpMin5_Bhm,SssssC,ndsN,ATSC1m,SCH-6,GATS5m,ETA_Beta,SpMin4_Bhm,AATSC5s,ATSC7p,apol,pIC50
CCCC1=C(SC2=N[C@H]([C@H](N12)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl)C(=O)N5CCNC(=O)C5,-0.8394605369481851,0.8065795048272245,-0.7808828289898957,-0.7703660157459702,0.47258560569379504,-0.4358356154302595,-0.2621457358213485,-0.6486456021145858,-0.140791708668406,0.11849633205306688,-0.4408055557890135,-0.13563719994240284,-0.5269425508496747,-0.6494974157440094,1.0677966983625733,-0.5112371746264818,-1.0767356328322104,-0.8020435107940314,-1.083273594061667,-0.042534985977679955,0.47483119848227207,0.9207116240955274,-1.0023128735102862,-0.38634785186677884,0.060451588477825176,3.300175771536031,0.07680706372788079,1.7730453636086239,-0.5749083914731601,-0.28034089739190254,1.6016960163776959,1.5421780096241762,-0.8463721757972574,-0.9244211608390227,-2.5744245939604617,0.18350708833842452,-0.6722311776071282,-0.8516405330390846,-0.19235173509398748,-0.938294254962978,0.7639290296439762,1.2197217672405445,-0.06243608384028176,0.7169806069472245,1.02328691181692,-0.47056577397576727,0.23671756672354308,0.9919618132290396,-0.9529487139357841,-0.46270915443454447,5.508638306
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@@H]2CCCN(CC(F)(F)F)C2)C1=O,0.5281675340791524,-1.1226649682267935,1.147602843917827,0.7304383952755402,-0.35285638310560113,0.17015618526804266,-0.44486780518801383,0.23729372099970858,-0.26002858987033894,-0.8374502047796373,-0.06303103327732634,-0.3871162263329192,-0.0700975658062238,-0.05536802567666514,0.8023448892665797,0.02528302388414474,-0.3331301932684354,-0.4312280688071528,0.9721489510740812,-1.4293224157811928,-0.22572057770673437,-1.0779814997641708,0.17972646266440473,-0.6570792996802695,0.7615448001029819,0.04058333744671147,0.11420064204134234,0.008716261109481859,-0.5153497527854671,-1.0112528216160361,-0.7668755972571919,-0.4881513606110043,-0.05870353457955119,0.9209339930328908,0.27686300223625937,0.5153188828609833,0.31444508688252126,-0.328820648461927,0.15327807025289125,-0.6893859823342182,-3.324315418519709,-0.44534800220771925,-0.6015962422363701,-1.0467084206493258,0.2580578536314765,-0.26530992016002936,0.58310892982286,-1.6783026123520666,1.0005529349819284,-0.22905144035629982,7.397940009
CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(C(C)N(C(C)=O)[C@H]3CC[C@@H](N(C)C)CC3)cc1)C2c1ccc(Cl)cc1,1.211981569592821,-1.1226649682267935,-0.7808828289898957,1.807382090122312,-0.17727256838599145,0.4418806587178182,-0.4400321797081871,-0.7928589927638563,0.0877658763574053,0.5205299223098119,-0.18108395551030756,-0.030802390920626435,0.7871532052605446,0.6078019037196396,0.6344594320335645,0.6377339085239138,-1.1923519790931916,0.4895338683855852,-1.083273594061667,0.8409200970241837,1.6968094304340258,1.1220803452183559,1.5511171421581884,0.3909884063965771,0.14977761966400782,0.20722481083552916,0.7877659802592981,0.9053229349268793,0.54804330764164,0.7757772375954637,-0.7668755972571919,-1.9199813558368761,1.5326133766464352,-1.0645004186061657,-0.8604244454989852,-1.8611445508996243,0.9142079904183167,-1.3758280502028917,-0.8799184270927416,1.4491228087255006,0.7639290296439762,-0.44534800220771925,0.4655156868392838,-0.7398059583366748,0.23375655062972717,0.9662252027343982,1.0336575273821722,-0.2648984917692568,0.8097967846827537,1.4337112497867361,7.159266765
CC[C@@H](CC(C)O)N1[C@@H]([C@H](C[C@](C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,-0.8394605369481851,0.32426838656372003,1.147602843917827,-0.7703660157459702,-0.4424921480043991,0.7931342463480177,-0.47606951956603577,0.6706922058931694,-1.4317817662869607,-0.8240490851044123,-0.1579750277100445,-0.01082257643510649,-0.7651820083596212,-0.24749570843288538,-0.5027922976941639,-0.14416295351865432,-0.7491982731990033,-0.6450612034092722,0.22892820335910313,0.4506094720491828,-1.3411868292199343,-0.8878018196520032,-0.1321017494758136,-0.9114077925200779,0.1595574403084897,-0.11485607440456265,-0.03486097123968745,-0.14445168110842813,-0.5153497527854671,-0.705763145648572,-0.7668755972571919,-0.9739406991845122,-0.06677365252144199,-0.37082888285462556,0.43543513298716113,0.5236123799695601,0.25713612649747686,-0.8145027335452916,-0.006449426178300297,0.2315126952715906,0.01734797938688152,-0.44534800220771925,-0.8246862102932806,-1.4616695904183243,-0.08671471017323366,-1.0606763536960138,0.4047490557313608,0.4983221284316239,0.2754067382712451,-0.36146487635849583,8.0
CC[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)c2ccccc2)C2CC2)C1=O,1.211981569592821,-0.6403538499632889,1.147602843917827,0.9205476662552037,0.6287852650884583,0.026858978835110736,0.6754078382825156,1.7033799632071913,1.0031080448618452,0.63845977545179,0.3152471127948276,-0.12317290522182615,1.186167060853832,0.6950796359431983,-0.37474707076730224,1.169121669559866,-0.059386286404176446,1.6438847757921928,0.7033228710069094,-2.155441454299581,-0.938606374803555,-0.9711114356766255,0.9179921705309121,1.6885279402442555,-0.585073189327965,0.2322953805649008,-1.1871741020663542,0.043325995737951685,0.1295334042123036,-0.31868562227654995,-0.7668755972571919,0.09049175427082652,0.3674852045506734,-0.025101099589478874,0.08068770847355099,0.20450427647617167,0.20166645948847778,-0.5585797131056813,-0.7926058526054368,0.5715996834619708,-0.05522530403713665,-0.44534800220771925,1.8097184564475992,-0.10674460286597215,0.502045401066971,0.735312367191693,0.8902036092428283,-0.08550685458167788,-1.2669924264005623,0.50062623971904,8.795880017
CN1[C@@H]([C@@H](O[C@H](C1=O)CC2=CC=C(C=C2)Br)C3=CC=C(C=C3)Br)C4=CC=C(C=C4)Br,-0.8394605369481851,0.8065795048272245,-0.7808828289898957,-0.7703660157459702,21.031251547119144,-0.1211164107849046,4.043943469694339,-0.9370723834131267,1.4069601254970474,-0.470259525678477,-0.628569707178275,0.28598290452251734,-0.7326152699674893,-0.8054640386695929,0.34738341206657786,-0.1160475520298525,-0.5960701445825598,-0.6977764351436823,-1.083273594061667,0.7617506638203789,2.3774602132738734,1.1934048648174949,0.15162794396777973,-1.4471823923507512,0.0023981461151546504,-2.5017074884977926,-0.5767003016236402,1.3367017330684665,-1.1812501966221862,-0.8554700528220197,-0.7668755972571919,0.2986937678270346,-1.445972805512966,-1.612209760352603,-0.5714664364119629,-1.8611445508996243,-3.277416127097208,-0.8762410344279684,-1.8135482462593278,-1.2546867736574234,0.7639290296439762,-0.44534800220771925,-0.8252922788228063,-1.016446741502363,-3.9363118410540174,-0.9323914450611775,-1.0007904639972967,0.23009216066635912,0.24317817466487823,-0.7853757168975734,5.823908741
CCOC1=C(C=CC(=C1)C(C)(C)C)C2=N[C@@]([C@@](N2C(=O)N3CCN(CC3)CCC(F)(F)F)(C)C4=CC=C(C=C4)Cl)(C)C5=CC=C(C=C5)Cl,-0.8394605369481851,1.0477350639589769,-0.7808828289898957,-0.7703660157459702,0.16007038191439124,1.6793714970154265,-0.4148885120376459,-0.9370723834131267,0.4592562144253394,-0.6444740814564,0.4882735595961256,1.0503014673133626,0.16427970537462003,2.302568728730494,-2.175025951606794,0.7731973081612463,-0.1795498177103042,0.7455480667981182,-1.083273594061667,-1.3690733352278142,0.6237774810890878,0.6142239185433166,2.057746503336798,0.9084493210479656,1.053183268450798,-0.06221570257657658,2.7566014209863554,-0.4039253496674826,3.7511127183126023,-1.3725615537653566,-0.7668755972571919,-0.18433898411666644,1.2219705785433594,-0.8902975201325869,-0.8444160070407003,-1.8611445508996243,0.12461692950022545,-0.26189284494597714,-1.569104527545986,0.9868866097775096,-3.847167762280897,1.2197217672405445,0.10417293876812585,0.3609638549361083,-1.2213664557341197,0.5300565133759552,0.9699043969331123,-0.24236290074794548,-0.809249884581341,1.3371427074698015,5.602059991
CC[C@@H](CS(=O)(=O)C1CCCC1)N2[C@@H]([C@H](C[C@](C2=O)(C)CC(=O)O)C3=CC(=CC=C3)Cl)C4=CC=C(C=C4)Cl,-0.8394605369481851,0.8065795048272245,1.147602843917827,-0.7703660157459702,0.4804391996574078,1.099276781817052,0.6625012102580747,1.7033799632071913,0.7592903898435942,0.2578679766754052,0.049909675604187,0.015343210151717784,0.5243684796955791,0.7129693346325623,-0.3946695293504252,1.2894986850752332,-0.3746163427483495,2.103632721092826,0.8508866868703536,-1.9534891017035212,-1.101422194871751,-0.9853955004217494,0.9574019766377366,0.5402290472095841,-0.13871891198919792,-0.11284224204575632,-0.7272212863568104,-0.026029983695896552,0.3088282121554621,-0.7896773591857215,-0.7668755972571919,-0.5723493640656829,1.5825973678061025,0.1654265349610159,0.051127783901696006,0.3751164035911336,0.4918319674825635,-0.5993873541330104,-0.25853779417347184,0.9362412606709224,-0.06494531196856435,-0.44534800220771925,1.9249209965859344,-1.1023026776070368,0.6337864739644158,-0.4192518105218328,0.24156335553035113,-0.6092940561456444,-0.5587901009158694,0.28247679347418475,9.522878745
C[C@@H]1CC[C@H](N1C(=O)C2=C(N3[C@@H]([C@](N=C3S2)(C)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl)C(C)C)C(=O)N6CCN([C@H](C6)C)C,-0.8394605369481851,0.8065795048272245,-0.7808828289898957,-0.7703660157459702,0.4757207938827806,1.5840813609070903,-0.24384511354401978,-0.6486456021145858,0.8151418764253946,0.5553728334653961,0.27757285717129776,-0.33135346825587625,0.6190633842721613,2.1199787918009108,0.9798961861585659,-0.11287326780900073,-1.2549834691744204,-0.386824944719423,-1.083273594061667,-0.1537971067974248,1.5702929849594207,1.282841014632749,-0.014754493951630223,1.1217566446622789,0.22885024787183786,2.5200840439891543,2.3366366663120632,1.2051083409654455,2.1224389334330622,0.726300200711616,-0.7668755972571919,0.012163208355863696,1.4951594505823482,-1.3889625619521602,-1.3271332549654538,-1.8611445508996243,0.7290592229084322,-1.1654189275712525,-1.259127657880117,1.263542839153429,0.44657068300800834,1.2197217672405445,0.7689445021099657,1.8334732392510378,1.4408752157786173,0.19651575092538098,0.5981132574945113,0.5558296651503107,-2.4055894905305326,1.1002998259858874,7.795880017
CC(C)(C)NC(=O)C1=C(SC(=C1C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)Cl)N,-0.8394605369481851,0.5654239456954723,-0.7808828289898957,-0.7703660157459702,0.15208591422129616,-0.6198441541222167,-0.24066429704031572,-0.9370723834131267,-1.1387520568112366,-0.4783001974836118,-0.7505872254746965,1.2440435085793335,-1.0803819468623166,-1.1266159058036518,0.9392553028827175,-0.22141225975744522,0.09416206807251619,-0.8199192554513984,-1.083273594061667,0.07470041419104305,-1.6412896667778625,0.961222392586266,0.7339076658326282,-2.3375698655059245,0.5669530231187107,-0.6264468404209025,1.244279531276864,1.590011496759302,-0.9488557846275325,-0.6220689733376931,0.704047264647929,2.247999992497177,-1.6910881304941434,-1.7341320103420206,-2.680974256106611,0.05693480406081144,-3.9483642394612937,-0.5306159126484467,1.9618774810189579,-2.533110403577514,0.5483426082709245,-0.44534800220771925,-0.5838923675439354,-0.5884262656332298,1.285409609541773,-1.291589189238719,-2.158315374529517,-2.077594030833465,-1.3234780943209274,-1.165245389616818,5.053056729
CC1=NC(=CC=C1)NC(C2=CC=C(C=C2)OC(F)(F)F)C3=C(C4=C(C=CC=N4)C=C3)O,-0.8394605369481851,1.0477350639589769,-0.7808828289898957,-0.7703660157459702,-0.8336523554475462,-1.9090177781057007,-0.5601821054081457,-0.9370723834131267,-1.6998927760906866,-0.5685344032967927,-1.135746910119448,0.3309676989661782,-1.7403522191971799,-2.132228930417329,1.4774440817108991,-1.558447131495883,0.7336966258932518,-1.0291159341559573,0.39523974201353207,-1.6856992456440716,-1.7081655856546396,0.3847202489084832,-0.0038875552091912516,-1.6458590882661788,0.4574255868193689,1.1536192227708104,-0.17907132183012964,0.005716563496095471,-1.5009958147991889,-0.9093795502289129,1.1349654481302236,0.2946057949281071,-1.5042846522828366,1.1234742165992413,-0.6247421978940905,-0.1516990221321734,-0.09172095383205683,0.3653759665789958,2.0731581846872005,-1.3034985419453098,-2.802035305279056,2.8847915366888084,-0.7038343844633829,-0.9656822093196892,2.0033960466357894,-0.5731937008836362,-1.730922833413654,-2.1904220866750705,0.34105605092591623,-1.248194620220293,5.026872146
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)NC)C2CC2)C3=CC=C(C=C3)Cl)C4=CC(=CC=C4)Cl)CC(=O)O,-0.8394605369481851,0.8065795048272245,1.147602843917827,-0.7703660157459702,0.48108782877887285,0.5684700680540233,0.6399701337116491,1.7033799632071913,0.921464478862537,-0.25048116300478984,-0.0006717840587288081,-0.06334966507158482,0.47943808760875445,0.19064442894858227,-0.9495512045198655,1.1496702856922862,-0.006530909625483335,1.6109392690448308,0.9143015165311325,-2.0023049701196522,-1.1371944002248422,-1.0056985168824408,-0.9617921957340605,1.4470055703854812,-0.25485125103125816,-0.08349337470422825,-1.2178149259113997,0.23378731061431982,-0.22775963183714446,-0.5887717548160264,0.9660891554565918,-0.22601738044266095,-0.2365069596691249,0.701511489771712,0.11416247550806564,0.448436132521637,0.31444508688252126,-0.3766865216986124,-0.07581455787798376,-0.6987715701859389,-0.07087388329052063,-0.44534800220771925,1.8813152126744495,-0.6149661713124048,0.2153116126610798,-0.5731937008836362,-0.7167407171441068,0.14212966688606365,-1.8855519428587435,-0.13287935107963592,7.638272164
C1CCC(CC1)C2=NC(=C(N2C3=C(C(=CC=C3)Cl)F)C4=CC(=C(C=C4)F)Cl)C5=NN=C(O5)N,-0.8394605369481851,0.8065795048272245,-0.7808828289898957,-0.7703660157459702,-0.2203787347367099,-0.6442932305404272,-0.39377796448748487,-0.9370723834131267,-0.47031448827456,0.4910474590243173,0.7915233299218496,0.2666667001187454,-0.42347942390088433,-1.4123139259995177,-0.010646017573868984,0.6034869827784783,0.5663085918804888,0.1693129242968404,-1.083273594061667,0.8763982883533429,-0.24567601282961887,0.5446218199419177,1.357622900966151,-0.6306383542387054,-1.947798658572392,-0.6456368042514992,-0.1642201777419921,-0.6779751786913248,-0.8806219375017222,0.5861869748235881,-0.7668755972571919,3.25219224918953,-0.7522732919105698,2.4399961523830482,1.390799675429479,1.3146757307973453,-0.6418751429794366,1.4161171367127288,0.8356908517336148,-1.473842827107583,0.7639290296439762,4.549861306137072,-0.6256108101303504,0.5278069180076042,-0.493361293618269,-0.5218797374297017,-2.807254152017437,-0.0024897215877547263,-0.5399160356354171,-0.9238353934312544,8.22184875
